,sentence,#aspect terms,aspect_terms,at_polarity
0,मैं night में इसे चार्ज करता हूँ और good battery life के कारण cord को साथ ले जाना छोड़ देता हूँ।,2,"['cord', 'battery life']","['neutral', 'positive']"
1,मैंने एक HP Pavillon DV4-1222nr laptop खरीदा और इस computer के साथ बहुत सारे problems पाये गये हैं।,0,[],[]
2,"तब tech guy ने कहा कि service center 1-to-1 exchange नहीं करता है और मुझे अपना concern ""sales"" team के लिए direct करना है, जो कि retail shop है जहा से मैंने अपना netbook buy किया।",3,"['service center', '""sales"" team', 'tech guy']","['negative', 'negative', 'neutral']"
3,मैंने netbooks की जांच की और Toshiba NB305-N410BL को देखा,0,[],[]
4,"दूसरे दिन मैंने town में एक बड़े conference में एक seminar के लिए presentation दी थी, बहुत सारे लोग थे, prepration के लिए time कम था, projector के लिए computer set up करना था, etc।  ",0,[],[]
5,"यह high quality का है, एक killer GUI है, बहुत stable है, highly expandable है, बहुत अच्छे applications के साथ बंडल किया गया है, use करना आसान है, और पूरी तरह से gorgeous है।",4,"['quality', 'GUI', 'applications', 'use']","['positive', 'positive', 'positive', 'positive']"
6,Start up के लिए easy है और overheat नहीं करता जितना दूसरे laptops करते हैं।,1,['Start up'],['positive']
7,Sad very SAD,0,[],[]
8,"मैंने अपने teenage son के लिए भी एक लिया, उन features के कारण जिन्हें यह देता है, जैसे, iChat, Photobooth, garage band और बहुत कुछ!",4,"['features', 'iChat', 'Photobooth', 'garage band']","['positive', 'positive', 'positive', 'positive']"
9,"उसे PC कहने की जरूरत नहीं जो cell phone को support न कर सके, useless है!",0,[],[]
10,शानदार laptop जो कई बेहतरीन features देता है।,1,['features'],['positive']
11,उन्होंने computer की problem fix करने के लिए कुछ भी नहीं किया है।,0,[],[]
12,"one night मैंने इसका इस्तेमाल करने के बाद इस freaking thing को बंद कर दिया, next day मैंने इसे चालू किया, कोई GUI नहीं था, सारी screen dark थी, power light steady थी, hard drive light steady थी और flash नहीं हो रही थी जैसा कि आमतौर पर होता है।",4,"['GUI', 'screen', 'power light', 'hard drive light']","['negative', 'negative', 'neutral', 'negative']"
13,"अभी भी pretty pricey है, लेकिन मैं थोड़ी देर के लिए little mackbook fund के रूप में money लगा रहा हूं, और finally यह use करने के लिए मिला।",0,[],[]
14,"मैंने इसे asus और उसी चीज blue screen के लिए वापस ले लिया, जिसे reset करने के लिए मुझे battery remove करने की जरुरत थी।",1,['battery'],['neutral']
15,"Shop में, इन mackbooks को soft rubber enclosure में रखा जाता है - इसलिए आप razor edge के बारे में तब तक नहीं जान पाएंगे, जब तक आप इसे खरीद नहीं लेते, इसे घर ले जाते हैं, seal तोड़ते हैं और इसका उपयोग करते (very clever con)।",2,"['rubber enclosure', 'edge']","['positive', 'negative']"
16,"हालाँकि, multi-touch gestures और बड़े tracking area external mouse को unnecessary बनाते हैं (जब तक कि आप gaming नहीं करते)।",4,"['multi-touch gestures', 'tracking area', 'external mouse', 'gaming']","['positive', 'positive', 'neutral', 'neutral']"
17,साथ ही यह small और reasonably light है इसलिए मैं इसे अपने साथ work पर ले जा सकता हूं।,0,[],[]
18,I HATE this one.,0,[],[]
19,वे पूरी तरह से unconcerned थे कि computer को first place में ठीक से repair नहीं किया गया था।,0,[],[]
20,"जब तक आपने site की repair के लिए extra paid नहीं किया है, Toshiba किसी को नहीं भेजती है।",0,[],[]
21,"oh, boy",0,[],[]
22,लेकिन जबकि यह एक big advantage है (जैसा कि आप company के recent commercials से पता कर सकते हैं) apple के साथ जाने से पहले consider करने वाली other things हैं।,0,[],[]
23,जिस तरह से entire suite of software एक साथ work करता है मुझे पसंद है।,1,['suite of software'],['positive']
24,Speed incredible है और मैं satisfied से कहीं अधिक हूं।,1,['Speed'],['positive']
25,Bright side पर कम से कम मैं इस time अपने laptop के बिना नहीं था!,0,[],[]
26,यह laptop हर expectation पर खरा उतरता है और windows 7 great है!,1,['windows 7'],['positive']
27,यह कितना frustrating था।,0,[],[]
28,मैं मुश्किल से किसी भी usb devices का use कर सकता हूं क्योंकि वे properly connect नहीं रहेंगे।,1,['usb devices'],['negative']
29,"इसका एक down side यह है कि जब मैं यहां एक certain game खेलता हूं तो यह कभी-कभी freeze हो जाता है, लेकिन यह इस computer के बारे में एकमात्र bad thing है।",0,[],[]
30,"-कोई backlit keyboard नहीं है, लेकिन मेरे लिए कोई issue नहीं है।",1,['keyboard'],['conflict']
31,"अंततः जब मेरे पास सब कुछ था, जो मेरे सभी installed software के साथ run कर रहा था, तो मैंने recharge करने के लिए अपने Droid में plugged किया और system crash हो गया।",2,"['software', 'system']","['neutral', 'negative']"
32,मैं even इसे off भी नहीं कर सकता।,0,[],[]
33,"एक suggestion जो मेरे पास है, कि Microsoft office for the mac लाने की चिंता छोड़ दीजिए, ये सोचकर कि ये बिल्कुल वैसा ही work करेगा जैसा आप इसे PC पर work करता हुआ जानते हैं।",1,['Microsoft office for the mac'],['negative']
34,इसको iphone के साथ पेयर करने में pure pleasure है - इसके बिना painless syncing होने के बारे में बात कीजिए - पहले मुझे लंबा वक्त लगता था - मगर अब एक चुटकी में हो जाता है।,1,['syncing'],['positive']
35,खरीदने से पहले I shopped around।,0,[],[]
36,"मुझे एक 30"" HD monitor का added bonus भी मिला, जो वास्तव में मेरी screen को extend करने और मेरी eyes को fresh रखने में मदद करता है!",2,"['30"" HD monitor', 'screen']","['positive', 'neutral']"
37,फिर business करेंगे।,0,[],[]
38,Machine boot up करने के लिए slow है और occasionally पूरी तरह से crashed हो जाता है।,1,['boot up'],['negative']
39,"इस service के लिए कई hundred dollars का भुगतान करने के बाद, यह frustrating है कि आपको घंटों के बाद help नहीं मिल सकती है।",1,['service'],['negative']
40,मेरे पास इन laptop में से 2 luxury (sarcasm) हैं।,0,[],[]
41,What a waste,0,[],[]
42,यह पुरा Dhell experience था जिसे मैं कभी repeat नहीं करुंगा।,0,[],[]
43,"कुछ flaws भी हैं, जिनको मैंने notice किया।",0,[],[]
44,पूरी तरह से एक-एक penny के लायक है कीफायती है।,0,[],[]
45,मैंने इसे कुछ months पहले एक नए version में upgrade करने की कोशिश की और अभी भी same problem है।,0,[],[]
46,"मुझे कुछ months पहले battery को एक बार replace करना पड़ा, तब से यह perfect काम कर रही है।",1,['battery'],['conflict']
47,:) past four years में मैंने ऐसा किया है कि मैंने कभी भी एक virus नहीं पाया है।,0,[],[]
48,मुझे operating system और preloaded software बहुत पसंद हैं।,2,"['operating system', 'preloaded software']","['positive', 'positive']"
49,"वे इस problem से निपटने में बेहतरीन थे, और मैं future में उनसे additional product  खरीदने की सोच रहा हूं।",0,[],[]
50,"मैंने वापस XL जाने का try किया, लेकिन वहाँ अभी भी problems हैं।",0,[],[]
51,इस laptop की सबसे अच्छी बात यह है कि price के साथ कुछ new features भी है।,2,"['price', 'features']","['positive', 'positive']"
