sentence,aspect_terms,at_polarity
I charge it at night and skip taking the cord with me because of the good battery life.,"['cord', 'battery life']","['neutral', 'positive']"
I bought a HP Pavilion DV4-1222nr laptop and have had so many problems with the computer.,[],[]
"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.","['service center', '""sales"" team', 'tech guy']","['negative', 'negative', 'neutral']"
I investigated netbooks and saw the Toshiba NB305-N410BL.,[],[]
"The other day I had a presentation to do for a seminar at a large conference in town- lots of people, little time to prep and have to set up a computer to a projector, etc.",[],[]
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.","['quality', 'GUI', 'applications', 'use']","['positive', 'positive', 'positive', 'positive']"
Easy to start up and does not overheat as much as other laptops.,['start up'],['positive']
Sad very SAD.,[],[]
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!","['features', 'iChat', 'Photobooth', 'garage band']","['positive', 'positive', 'positive', 'positive']"
Needless to say a PC that can't support a cell phone is less than useless!,[],[]
Great laptop that offers many great features!,['features'],['positive']
they have done absolutely nothing to fix the computer problem.,[],[]
"One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.","['GUI', 'screen', 'power light', 'hard drive ligh']","['negative', 'negative', 'neutral', 'negative']"
"Still pretty pricey, but I've been putting off money for a while as a little Macbook Fund, and finally got to use it.",[],[]
"My only disappointment with the 13"" model is that they're the only ones in the MacBook Pro line up without an i5 or i7 processor and dual graphics cards, however the trade-off is that you achieve a longer battery life (of about 2 more hours).","['processor', 'graphics cards', 'battery life']","['negative', 'negative', 'positive']"
I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.,['battery'],['neutral']
"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).","['rubber enclosure', 'edge']","['positive', 'negative']"
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).","['multi-touch gestures', 'tracking area', 'external mouse', 'gaming']","['positive', 'positive', 'neutral', 'neutral']"
Plus it is small and reasonably light so I can take it with me to and from work.,[],[]
I HATE this one.,[],[]
They were totally unconcerned that the computer was not correctly repaired in the first place.,[],[]
Toshiba does not send any one out unless you have paid extra to have the on site repair done.,[],[]
"Oh, boy!",[],[]
But while this is one big advantage (as you may know from the company s recent commercials) there are other things to consider before going with Apple.,[],[]
I love the way the entire suite of software works together.,['suite of software'],['positive']
The speed is incredible and I am more than satisfied.,['speed'],['positive']
on the bright side at least I wasn't without my laptop for long this time!,[],[]
This laptop meets every expectation and Windows 7 is great!,['Windows 7'],['positive']
That's how frustrating it was.,[],[]
I can barely use any usb devices because they will not stay connected properly.,['usb devices'],['negative']
"The one down side to it is that when I play a certin game on here, it tends to freeze up sometimes, but thats the only bad thing about this computer.",[],[]
"-No backlit keyboard, but not an issue for me.",['keyboard'],['conflict']
When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,"['software', 'system']","['neutral', 'negative']"
I can't even turn it off.,[],[]
